usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Customer,10001,Manhattan,Chelsea and Clinton,11101,Queens,Northwest Queens,2020-11-11,2020-11-11,52.7,6.0,0.69,40.0,1
Subscriber,11201,Brooklyn,Northwest Brooklyn,11221,Brooklyn,Bushwick and Williamsburg,2020-09-19,2020-09-19,74.7,1.8,0.0,20.0,4
Subscriber,10019,Manhattan,Chelsea and Clinton,10028,Manhattan,Upper East Side,2020-12-14,2020-12-14,56.8,4.6,0.0,10.0,2
Subscriber,10036,Manhattan,Chelsea and Clinton,10069,Manhattan,West Side,2020-12-07,2020-12-07,48.0,2.9,0.0,10.0,1
Subscriber,10280,Manhattan,Lower Manhattan,11206,Brooklyn,Bushwick and Williamsburg,2020-10-15,2020-10-15,58.2,3.5,0.0,30.0,1
Subscriber,10021,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-09-27,2020-09-27,63.5,4.8,0.0,260.0,1
Customer,10001,Manhattan,Chelsea and Clinton,10028,Manhattan,Upper East Side,2020-11-14,2020-11-14,46.4,8.0,0.0,40.0,2
Subscriber,10128,Manhattan,Upper East Side,10128,Manhattan,Upper East Side,2020-11-03,2020-11-03,60.6,1.6,0.0,60.0,1
Subscriber,10021,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-09-21,2020-09-21,65.8,7.4,0.0,0.0,3
Subscriber,11222,Brooklyn,Greenpoint,11206,Brooklyn,Bushwick and Williamsburg,2020-10-21,2020-10-21,65.0,2.8,0.0,20.0,2
Subscriber,10110,Manhattan,Chelsea and Clinton,10028,Manhattan,Upper East Side,2020-11-11,2020-11-11,52.7,6.0,0.69,20.0,4
Subscriber,10007,Manhattan,Lower Manhattan,10021,Manhattan,Upper East Side,2020-10-23,2020-10-23,58.8,5.0,0.0,50.0,1
Customer,10017,Manhattan,Gramercy Park and Murray Hill,10021,Manhattan,Upper East Side,2020-09-16,2020-09-16,75.8,1.5,0.0,30.0,1
Subscriber,11101,Queens,Northwest Queens,11206,Brooklyn,Bushwick and Williamsburg,2020-10-23,2020-10-23,58.8,5.0,0.0,30.0,2
Subscriber,10016,Manhattan,Gramercy Park and Murray Hill,10020,Manhattan,Chelsea and Clinton,2019-05-17,2019-05-17,61.6,5.3,1.51,10.0,2
Customer,10022,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-12-07,2020-12-07,48.0,2.9,0.0,10.0,1
Subscriber,11211,Brooklyn,Greenpoint,11221,Brooklyn,Bushwick and Williamsburg,2020-09-05,2020-09-05,74.0,4.4,0.0,20.0,1
Subscriber,10002,Manhattan,Lower East Side,11222,Brooklyn,Greenpoint,2020-12-23,2020-12-23,56.4,3.0,0.19,30.0,1
Customer,11221,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-09-05,2020-09-05,74.0,4.4,0.0,10.0,1
Customer,11211,Brooklyn,Greenpoint,11206,Brooklyn,Bushwick and Williamsburg,2020-10-25,2020-10-25,59.1,4.0,0.02,20.0,3
Customer,10128,Manhattan,Upper East Side,10128,Manhattan,Upper East Side,2020-10-22,2020-10-22,65.4,4.1,0.0,30.0,1
Customer,10021,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-09-27,2020-09-27,63.5,4.8,0.0,60.0,1
Customer,10028,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-11-21,2020-11-21,46.4,4.9,0.0,70.0,1
Subscriber,10075,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-11-06,2020-11-06,69.4,3.7,0.01,20.0,1
Subscriber,10003,Manhattan,Lower East Side,11206,Brooklyn,Bushwick and Williamsburg,2020-11-29,2020-11-30,41.5,999.9,0.02,20.0,1
Subscriber,10016,Manhattan,Gramercy Park and Murray Hill,10128,Manhattan,Upper East Side,2020-11-02,2020-11-02,59.4,2.6,0.0,30.0,1
Subscriber,10011,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-04-13,2019-04-13,63.0,4.7,0.0,40.0,1
Subscriber,10002,Manhattan,Lower East Side,11220,Brooklyn,Sunset Park,2020-12-14,2020-12-14,56.8,4.6,0.0,40.0,1
Subscriber,10024,Manhattan,Upper West Side,10069,Manhattan,West Side,2020-12-15,2020-12-15,61.8,8.6,0.42,20.0,1
Subscriber,11216,Brooklyn,Central Brooklyn,11233,Brooklyn,Central Brooklyn,2020-10-23,2020-10-23,58.8,5.0,0.0,0.0,1
Subscriber,10036,Manhattan,Chelsea and Clinton,10028,Manhattan,Upper East Side,2020-12-17,2020-12-17,54.7,3.4,0.04,40.0,1
Customer,10018,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-05-31,2019-05-31,64.2,5.5,0.0,30.0,1
Subscriber,10036,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-01-18,2019-01-18,37.6,999.9,0.0,10.0,1
Subscriber,10075,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-11-23,2020-11-23,39.8,5.6,0.0,20.0,1
Subscriber,10018,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-01-17,2019-01-17,37.8,999.9,0.0,20.0,1
Customer,11101,Queens,Northwest Queens,11222,Brooklyn,Greenpoint,2020-09-08,2020-09-08,84.2,3.8,0.0,40.0,1
